House Title,House Subtitle,Contractor,Address,Phone Number,Amount,Bedrooms,Bathrooms,Toilets,Parking Space,Link
Magnificient And Durably Built 5 Units Of Two (2) Bedroom Flat,2 bedroom block of flats for sale,Bluehedge Realtors,"Rumuigbo, Port Harcourt, Rivers",+2348177766119,"₦48,000,000",2,2,3,5,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuigbo/1504846-magnificient-and-durably-built-5-units-of-two-2-bedroom-flat
Modern 9 Units Of 2 Bedroom Flats,2 bedroom block of flats for sale,Elite Realty Services,"Eliozu Road, Eliozu, Port Harcourt, Rivers",07063200355,"₦235,000,000",2,3,3,10,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/eliozu/1489626-modern-9-units-of-2-bedroom-flats
Executive And Exquisitely Finished 2 Units Of 3 Bedrooms,3 bedroom block of flats for sale,Bluehedge Realtors,"Peter Odili Road, Obio-Akpor, Rivers",+2348177766119,"₦130,000,000",3,3,3,8,https:/for-sale/houses/block-of-flats/rivers/obio-akpor/1488866-executive-and-exquisitely-finished-2-units-of-3-bedrooms
Magnificient And Durably Built 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Stadium Road, Port Harcourt, Rivers",+2348177766119,"₦130,000,000",5,6,6,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1461655-magnificient-and-durably-built-5-bedroom-detached-duplex
Well Located Block Of Flats Comprising 4 Unit Of 2 Bedroom Apartment,2 bedroom block of flats for sale,Bluehedge Realtors,"Eneka Road, Rumuduru, Port Harcourt, Rivers",+2348177766119,"₦48,000,000",2,1,3,8,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuduru/1465806-well-located-block-of-flats-comprising-4-unit-of-2-bedroom-apartment
Executive And Exquisitely Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Paradise Estate, Shell Cooperative, Eliozu, Port Harcourt, Rivers",+2348177766119,"₦75,000,000",4,4,4,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1470584-executive-and-exquisitely-finished-4-bedroom-detached-duplex
Contemporary 4 Bedroom Bungalow,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Rumuahalu, Port Harcourt, Rivers",09060587316,"₦45,000,000",4,4,5,8,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuahalu/1420077-contemporary-4-bedroom-bungalow
3 Bedroom Bungalow With 1 Bedroom Apartment & 3 Units Of Lockup Shops,3 bedroom house for sale,Mentom Global Services Limited,"Rukpoku Port Harcourt, Port Harcourt, Rivers",07034438300,"₦35,000,000",3,3,4,4,https:/for-sale/houses/rivers/port-harcourt/1465687-3-bedroom-bungalow-with-1-bedroom-apartment-3-units-of-lockup-shops
Executive 4 Bedrooms Duplex In A Highly Secured Estate,4 bedroom detached duplex for sale,Oak Properties,"Off Chief G.u Ake Road, Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",08063105936,"₦220,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1462174-executive-4-bedrooms-duplex-in-a-highly-secured-estate
Newly Built 4 Bedrooms Duplex,4 bedroom house for sale,Mentom Global Services Limited,"Golf Estate, By Peter Odili Road, Port Harcourt, Rivers",07034438300,"₦200,000,000",4,4,5,4,https:/for-sale/houses/rivers/port-harcourt/1461755-newly-built-4-bedrooms-duplex
7 Bedroom Block Of Flats,7 bedroom block of flats for sale,Aito Properties Ltd,"Chinda Road, Iwofe, Rumueprikom, Port Harcourt, Rivers",09060587316,"₦30,000,000",7,7,9,10,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumueprikom/1460884-7-bedroom-block-of-flats
A Fully Detached Five (5) Bedroom House,5 bedroom house for sale,Obum Okoli & Partners,"At Naf Harmony Estate, Port Harcourt, Rivers",08061675102,"₦200,000,000",5,6,6,8,https:/for-sale/houses/rivers/port-harcourt/1457650-a-fully-detached-five-5-bedroom-house
Luxurious And Exquisitely Finished 4 Bedroom Terraced Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦56,000,000",4,4,5,3,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1352553-luxurious-and-exquisitely-finished-4-bedroom-terraced-duplex
Luxurious And Exquisitely Finished 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"New Gra Phase 3, Port Harcourt, Rivers",+2348177766119,"₦170,000,000",5,5,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1369197-luxurious-and-exquisitely-finished-5-bedroom-detached-duplex
American Standard 6 Bedrooms Duplex In A Secured Estate,6 bedroom detached duplex for sale,Oak Properties,"Somitel Estate, Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08063105936,"₦190,000,000",6,6,7,7,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1150975-american-standard-6-bedrooms-duplex-in-a-secured-estate
Luxurious And Tastefully Finished Four (4) Bedroom Detached,4 bedroom detached duplex for sale,Bluehedge Realtors,"Sars Road, Rukpokwu, Port Harcourt, Rivers",+2348177766119,"₦55,000,000",4,4,4,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rukpokwu/1452010-luxurious-and-tastefully-finished-four-4-bedroom-detached
Well Located 2 Units Of 1 Bedroom Flat And 5 Units Of Self Contained,1 bedroom detached bungalow for sale,Bluehedge Realtors,"Rukpokwu, Port Harcourt, Rivers",+2348177766119,"₦25,000,000",1,2,,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rukpokwu/1450791-well-located-2-units-of-1-bedroom-flat-and-5-units-of-self-contained
Well Located And Exquisitely Finished Five (5) Bedroom Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Elimbu, Port Harcourt, Rivers",+2348177766119,"₦70,000,000",5,5,6,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/elimbu/1437657-well-located-and-exquisitely-finished-five-5-bedroom-duplex
Luxurious And Tastefully Finished 4 Bedroom Terraced Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦50,000,000",4,4,5,2,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1327461-luxurious-and-tastefully-finished-4-bedroom-terraced-duplex
Well Located And Beautifully Finished 4 Bedrooms Detached Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Oro-ekpo Road, Rumueprikom, Port Harcourt, Rivers",+2348177766119,"₦35,000,000",4,4,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumueprikom/1420129-well-located-and-beautifully-finished-4-bedrooms-detached-bungalow
Luxurious And Tastefully Furnished Four (4) Bedroom Detached Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Okilton Drive Off Ada George, Port Harcourt, Rivers",+2348177766119,"₦65,000,000",4,5,5,6,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1431853-luxurious-and-tastefully-furnished-four-4-bedroom-detached-bungalow
Well Located And Solidly Built 4 Bedroom Duplex With 3 Bedroom,4 bedroom detached duplex for sale,Bluehedge Realtors,"Peace Estate, Eligbolo, Port Harcourt, Rivers",+2348177766119,"₦90,000,000",4,4,4,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1444503-well-located-and-solidly-built-4-bedroom-duplex-with-3-bedroom
6 Bedrooms Duplex,6 bedroom detached duplex for sale,Coltage Island Properties,"Rumuduru, Port Harcourt, Rivers",+2349130085525,"₦30,000,000",6,6,7,15,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuduru/1441329-6-bedrooms-duplex
Semi Furnished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Mentom Global Services Limited,"Rumuokwurusi, Port Harcourt, Rivers",07034438300,"₦48,000,000",4,4,5,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuokwurusi/1401091-semi-furnished-4-bedroom-detached-duplex
"5 Bedroom Duplex With Penthouse, Tarred Road & Security",5 bedroom detached duplex for sale,Mentom Global Services Limited,"GRA Phase 1, Port Harcourt, Rivers",07034438300,"₦170,000,000",5,7,6,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/gra-phase-1/1414997-5-bedroom-duplex-with-penthouse-tarred-road-security
Luxury New 4 Bedroom Duplex,4 bedroom detached duplex for sale,08134026784,"19 Oria Street,, Rumuokwuota, Port Harcourt, Rivers",08134026784,"₦80,000,000",4,5,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuokwuota/1437696-luxury-new-4-bedroom-duplex
Exquisitely Finished 4 Bedroom Detached Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Rumuahalu, Port Harcourt, Rivers",+2348177766119,"₦45,000,000",4,4,5,6,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuahalu/1429245-exquisitely-finished-4-bedroom-detached-bungalow
Luxuriously Finished 4 Bedrooms Detached Duplex With C Of O,4 bedroom detached duplex for sale,Life Hedge Resources,"Farm Road, Rumuodara, Port Harcourt, Rivers",08057258957,"₦75,000,000",4,4,5,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuodara/1428737-luxuriously-finished-4-bedrooms-detached-duplex-with-c-of-o
7 Bedroom Detached Duplex With 5 Bedroom Guest House,7 bedroom detached duplex for sale,Amakiri Associates,"GRA Phase 3, Port Harcourt, Rivers",07085237517,"₦600,000,000",7,8,8,"3,023",https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/gra-phase-3/1423964-7-bedroom-detached-duplex-with-5-bedroom-guest-house
A Four (4) Bedroom Detached House On 3 Plots With C Of O,4 bedroom detached duplex for sale,Obum Okoli & Partners,"Oroma Estate, Rumuogba, Port Harcourt, Rivers",08061675102,"₦65,000,000",4,4,5,15,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1420949-a-four-4-bedroom-detached-house-on-3-plots-with-c-of-o
Luxury 5 Bedroom Detached Duplex On 2 Plots Of Land,5 bedroom detached duplex for sale,Balafama Realties,"Peter Odili Road, Port Harcourt, Rivers",08033558751,"₦150,000,000",5,5,6,12,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1412736-luxury-5-bedroom-detached-duplex-on-2-plots-of-land
Magnificient And Luxurious 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"New Road, By Ada George, Port Harcourt, Rivers",+2348177766119,"₦50,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1212830-magnificient-and-luxurious-5-bedroom-detached-duplex
Magnificently Built And Standard Block Of Flats,2 bedroom block of flats for sale,Bluehedge Realtors,"Off Old Airport Road, Rukpokwu, Port Harcourt, Rivers",+2348177766119,"₦150,000,000",2,3,12,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rukpokwu/1200725-magnificently-built-and-standard-block-of-flats
Exquisitely Built 3 Bedroom Bungalow,3 bedroom detached bungalow for sale,Bluehedge Realtors,"Woji, Port Harcourt, Rivers",+2348177766119,"₦35,000,000",3,4,,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/woji/1275908-exquisitely-built-3-bedroom-bungalow
Well Located And Exquisitely Finished 4 Bedroom Detached Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Woji Estate, Port Harcourt, Rivers",+2348177766119,"₦45,000,000",4,4,5,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1367658-well-located-and-exquisitely-finished-4-bedroom-detached-bungalow
Duplexes In An Estate,5 bedroom detached duplex for sale,Amon Heights Limited,"Port Harcourt, Rivers",08129318857,"₦4,500,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1411221-duplexes-in-an-estate
6 Bedroom Duplex,6 bedroom detached duplex for sale,Ph Houses,"Rumuomasi, Port Harcourt, Rivers",08034712613,"₦170,000,000",6,7,7,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1325465-6-bedroom-duplex
5 Bedroom Detached Duplex With Bq,5 bedroom detached duplex for sale,Balafama Realties,"Eliozu, Port Harcourt, Rivers",08033558751,"₦70,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1363197-5-bedroom-detached-duplex-with-bq
Well Finished Modern Block Of Flats,10 bedroom block of flats for sale,Aito Properties Ltd,"Eneka, Port Harcourt, Rivers",09060587316,"₦45,000,000",10,10,13,10,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/eneka/1404474-well-finished-modern-block-of-flats
5 Bedroom Duplex On 698 Sqm Land With C Of O,5 bedroom detached duplex for sale,Aito Properties Ltd,"Woji, Port Harcourt, Rivers",09060587316,"₦80,000,000",5,6,6,7,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/woji/1397172-5-bedroom-duplex-on-698-sqm-land-with-c-of-o
Newly Built Modern 3 Bedroom Bungalow,3 bedroom detached bungalow for sale,Aito Properties Ltd,"Ozuoba, Port Harcourt, Rivers",09060587316,"₦18,000,000",3,3,4,3,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/ozuoba/1404409-newly-built-modern-3-bedroom-bungalow
Standard 3 Bedroom Bungalow,3 bedroom detached bungalow for sale,Emmanuel Otali,"Aluu Close To Opm Hospital, Choba, Port Harcourt, Rivers",07031517374,"₦7,000,000",3,4,4,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/choba/1404005-standard-3-bedroom-bungalow
5 Bedroom Detach Duplex With Bq In A Serviced Estate On 450sqm,6 bedroom detached bungalow for sale,Mentom Global Services Limited,"Peter Odili Road, Port Harcourt, Rivers",07034438300,"₦140,000,000",6,6,7,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1399783-5-bedroom-detach-duplex-with-bq-in-a-serviced-estate-on-450sqm
Magnificent And Tastefully Finished Six (6) Bedroom Detached Duplex,6 bedroom detached duplex for sale,Bluehedge Realtors,"Elimbu, Port Harcourt, Rivers",+2348177766119,"₦45,000,000",6,7,7,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/elimbu/1397140-magnificent-and-tastefully-finished-six-6-bedroom-detached-duplex
Exquisitely Finished 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Texas Estate Boskie / Off East West Road, Elelenwo, Port Harcourt, Rivers",+2348177766119,"₦45,000,000",5,5,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/elelenwo/1312455-exquisitely-finished-5-bedroom-detached-duplex
Super Luxurious 4 Bedroom Duplex With Bq With C Of O,4 bedroom semi-detached duplex for sale,Odinga E Property Ltd,"Trinity Garden Estate Eleme Junction, Port Harcourt, Rivers",08032662547,"₦55,555,550",4,5,5,6,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/1371364-super-luxurious-4-bedroom-duplex-with-bq-with-c-of-o
Luxury 6 Bedroom Duplex In An Elite Neighborhood,6 bedroom detached duplex for sale,Aito Properties Ltd,"Cocaine Village, Artillery, Rumuogba, Port Harcourt, Rivers",09060587316,"₦165,000,000",6,7,7,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuogba/1391419-luxury-6-bedroom-duplex-in-an-elite-neighborhood
Contemporary Newly Built 4bedroom Duplex With Bq,4 bedroom detached duplex for sale,Odinga E Property Ltd,"Peter Odili Road/ Royal Avenue Estate, Port Harcourt, Rivers",08032662547,"₦110,000,000",4,5,5,9,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1376367-contemporary-newly-built-4bedroom-duplex-with-bq
Exquisitely Finished Three (3) Bedroom Bungalow,3 bedroom detached bungalow for sale,Bluehedge Realtors,"Harruk Road, Off Nta Road, Port Harcourt, Rivers",+2348177766119,"₦27,000,000",3,3,4,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1373000-exquisitely-finished-three-3-bedroom-bungalow
Exotic And Tastefully Finished 5 Bedrooms Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Nafbase Estate, Gu Ake Road, Eliozu, Port Harcourt, Rivers",+2348177766119,"₦195,000,000",5,5,6,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1085613-exotic-and-tastefully-finished-5-bedrooms-detached-duplex
Magnificient And Exquisitely Finished 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Woji Estate, Port Harcourt, Rivers",+2348177766119,"₦75,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1360675-magnificient-and-exquisitely-finished-5-bedroom-detached-duplex
Well Located And Durably Built Block Of Flats,2 bedroom block of flats for sale,Bluehedge Realtors,"Aker Road/ Iwofe, Port Harcourt, Rivers",+2348177766119,"₦35,000,000",2,2,3,6,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1379204-well-located-and-durably-built-block-of-flats
Well Located And Durably Built 10 Units Block Of Flat,1 bedroom block of flats for sale,Bluehedge Realtors,"Igwuruta, Port Harcourt, Rivers",+2348177766119,"₦27,000,000",1,1,2,4,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1312944-well-located-and-durably-built-10-units-block-of-flat
Magnificient And Durably Built 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Nddc Estate, Elelenwo, Port Harcourt, Rivers",+2348177766119,"₦50,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/elelenwo/1329586-magnificient-and-durably-built-5-bedroom-detached-duplex
Luxury Four (4) Bedrooms Terraced Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Golf Estate, Trans Amadi, Port Harcourt, Rivers",+2348177766119,"₦68,000,000",4,4,5,1,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1337837-luxury-four-4-bedrooms-terraced-duplex
Luxurious And Tastefully Finished 5 Bedroom Detached Duplex,5 bedroom house for sale,Bluehedge Realtors,"Farm Road 2 , Eliozu, Port Harcourt, Rivers",+2348177766119,"₦160,000,000",5,5,6,4,https:/for-sale/houses/rivers/port-harcourt/1120224-luxurious-and-tastefully-finished-5-bedroom-detached-duplex
Luxurious And Exquisitely Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Tombia Extension, New Gra, Port Harcourt, Rivers",+2348177766119,"₦120,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1194827-luxurious-and-exquisitely-finished-4-bedroom-detached-duplex
"Luxury 2 Bedrooms Duplex, Fully Furnished",2 bedroom terraced duplex for sale,Odinga E Property Ltd,"Centenary Estate, Eneka, Port Harcourt, Rivers",08032662547,"₦55,000,000",2,3,3,12,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1375120-luxury-2-bedrooms-duplex-fully-furnished
Distress Luxury New Fully Furnished 4 Bedroom Bungalow With Penthouse,4 bedroom detached bungalow for sale,Odinga E Property Ltd,"Ada George, Port Harcourt, Rivers",08032662547,"₦58,000,000",4,5,5,8,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1366230-distress-luxury-new-fully-furnished-4-bedroom-bungalow-with-penthouse
Well Located And Exquisitely Finished 2 Bedroom Block Of Flats,2 bedroom block of flats for sale,Bluehedge Realtors,"Rumuomasi By Martha Catholic Church, Port Harcourt, Rivers",+2348177766119,"₦60,000,000",2,2,3,6,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1374883-well-located-and-exquisitely-finished-2-bedroom-block-of-flats
Executive 5bedroom Mansion Inside A Secured Environment,5 bedroom detached duplex for sale,Odinga E Property Ltd,"Trinity Garden Estate, Port Harcourt, Rivers",08032662547,"₦90,000,000",5,6,6,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1371394-executive-5bedroom-mansion-inside-a-secured-environment
Luxurious And Tastefully Finished 6 Bedrooms Detached Duplex With Bq,6 bedroom detached duplex for sale,Bluehedge Realtors,"Naf Base Estate / G. U Ake Road, Eliozu, Port Harcourt, Rivers",+2348177766119,"₦270,000,000",6,6,7,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1085607-luxurious-and-tastefully-finished-6-bedrooms-detached-duplex-with-bq
Elegant And Upscale 4 Bedroom Terrace Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Vintage Estate, Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",+2348177766119,"₦75,000,000",4,4,5,3,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/eliozu/1217163-elegant-and-upscale-4-bedroom-terrace-duplex
Exotic And Tastefully Finished 3 Bedroom Detached Bungalow,3 bedroom detached bungalow for sale,Bluehedge Realtors,"Mercyland, Port Harcourt, Rivers",+2348177766119,"₦35,000,000",3,3,4,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1334042-exotic-and-tastefully-finished-3-bedroom-detached-bungalow
Magnificient And Exquisitely Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Peter Odili Road Opposite Transamadi Gardens, Port Harcourt, Rivers",+2348177766119,"₦70,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1317591-magnificient-and-exquisitely-finished-4-bedroom-detached-duplex
Well Located 4 Bedroom Detached Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Igwuruta - Eneka Road, Obio-Akpor, Rivers",+2348177766119,"₦12,000,000",4,4,5,465,https:/for-sale/houses/detached-bungalows/rivers/obio-akpor/1321316-well-located-4-bedroom-detached-bungalow
Well Located And Durably Built 4 Bedroom Detached Bungalow With B. Q,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Off Trans Amadi / Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦26,000,000",4,4,5,3,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1321319-well-located-and-durably-built-4-bedroom-detached-bungalow-with-b-q
A Block Of Luxury Flats On Four Floors,Block of flats for sale,Obum Okoli & Partners,"Off Nta Road Mgbuoba, Port Harcourt, Rivers",08061675102,"₦105,000,000",,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1367989-a-block-of-luxury-flats-on-four-floors
Luxuriously Finished 4 Bedroom Detached Bungalow,4 bedroom detached bungalow for sale,Life Hedge Resources,"Elioparonwo Road Off Ada George, Rumueme, Port Harcourt, Rivers",08057258957,"₦45,000,000",4,4,5,8,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumueme/1364767-luxuriously-finished-4-bedroom-detached-bungalow
Luxurious 4 Bedroom Terrace Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Peter Odili, Port Harcourt, Rivers",+2348177766119,"₦65,000,000",4,4,5,280,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1321467-luxurious-4-bedroom-terrace-duplex
Eclectic And Ideal Two (2) Bedroom Detached Duplex,2 bedroom detached duplex for sale,Bluehedge Realtors,"Conerstone Road, Ozuoba, Port Harcourt, Rivers",+2348177766119,"₦30,000,000",2,2,3,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/ozuoba/1324324-eclectic-and-ideal-two-2-bedroom-detached-duplex
Magnificent 6 Bedroom Detached Duplex,6 bedroom detached duplex for sale,Bluehedge Realtors,"Eliopokwudu, Rukpokwu, Port Harcourt, Rivers",+2348177766119,"₦45,000,000",6,6,6,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rukpokwu/1341882-magnificent-6-bedroom-detached-duplex
Well Located (4) Bedroom Detached Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Rumuokwurusi, Port Harcourt, Rivers",+2348177766119,"₦40,000,000",4,4,4,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuokwurusi/1353205-well-located-4-bedroom-detached-bungalow
Luxuriously Finished 3 Bedroom Detached Bungalow,3 bedroom detached bungalow for sale,Life Hedge Resources,"Mercy Land Estate, Rumolumeni, Port Harcourt, Rivers",08057258957,"₦27,000,000",3,3,4,8,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumolumeni/1354767-luxuriously-finished-3-bedroom-detached-bungalow
Magnificent And Durably Built Block Of Flats,2 bedroom block of flats for sale,Bluehedge Realtors,"New Road, Off Ada George, Port Harcourt, Rivers",+2348177766119,"₦70,000,000",2,2,3,960,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1353206-magnificent-and-durably-built-block-of-flats
Magnificient And Well Located Four (4) Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Woji, Port Harcourt, Rivers",+2348177766119,"₦75,000,000",4,5,465,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/woji/1321312-magnificient-and-well-located-four-4-bedroom-detached-duplex
Exquisitely Finished 3 Bedroom Detached Bungalow,3 bedroom detached bungalow for sale,Bluehedge Realtors,"Iwofe, Port Harcourt, Rivers",+2348177766119,"₦22,000,000",3,4,5,2,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1334037-exquisitely-finished-3-bedroom-detached-bungalow
Exquisitely Finished 4 Bedroom Detached Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Okpolour Iriebe, Oyigbo, Rivers",+2348177766119,"₦50,000,000",4,4,4,7,https:/for-sale/houses/detached-bungalows/rivers/oyigbo/1341902-exquisitely-finished-4-bedroom-detached-bungalow
6 Bedroom Flat,6 bedroom detached bungalow for sale,Ph Houses,"Alode, Eleme, Port Harcourt, Rivers",08034712613,"₦29,000,000",6,7,7,10,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1339366-6-bedroom-flat
4 Bedroom Detached Duplex With Boys Quarter,4 bedroom detached duplex for sale,Life Hedge Resources,"Off Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08057258957,"₦150,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1333409-4-bedroom-detached-duplex-with-boys-quarter
Property Containing 4 Units Of 3 Bedroom Apartment And A Security,12 bedroom block of flats for sale,Mentom Global Services Limited,"Royal Palm Estate Off Odili Road, Port Harcourt, Rivers",07034438300,"₦100,000,000",12,12,12,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1330684-property-containing-4-units-of-3-bedroom-apartment-and-a-security
6 Numbers Of Spacious 2 Bedroom Flat On A 3 Plots Of Land,12 bedroom block of flats for sale,Mentom Global Services Limited,"Off Transamadi Road Slaughter, Port Harcourt, Rivers",07034438300,"₦90,000,000",12,12,12,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1315940-6-numbers-of-spacious-2-bedroom-flat-on-a-3-plots-of-land
4 Bedroom Detached Duplex,4 bedroom house for sale,Mentom Global Services Limited,"Golf Estate Off Odili Woji Rd Ph, Port Harcourt, Rivers",07034438300,"₦125,000,000",4,4,5,3,https:/for-sale/houses/rivers/port-harcourt/1314403-4-bedroom-detached-duplex
4 Bedroom Terrace Duplex,4 bedroom terraced duplex for sale,Mentom Global Services Limited,"Unity Estate Off Odili Rd, Port Harcourt, Rivers",07034438300,"₦65,000,000",4,4,4,3,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1314380-4-bedroom-terrace-duplex
Luxurious And Tastefully Finished 6 Bedroom Detached Duplex With Bq,6 bedroom detached duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦130,000,000",6,6,7,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1273666-luxurious-and-tastefully-finished-6-bedroom-detached-duplex-with-bq
